index,score
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,0.903226
23,1
24,0.967742
25,0.548387
26,0.419355
27,0.516129
28,0.645161
29,0.516129
30,0.709677
31,0.290323
32,0.677419
33,0.580645
34,0.548387
35,0.612903
36,0.516129
37,0.451613
38,0.0322581
39,0.0322581
40,0.129032
41,0.0645161
42,0.225806
43,0.741935
44,0.903226
45,0.903226
46,0.0967742
47,0.16129
48,0.129032
49,0.129032
50,0.0967742
51,0.258065
52,1
53,1
54,0.483871
55,1
56,1
57,1
58,1
59,1
60,1
61,0.645161
62,0.387097
63,0.451613
64,0.483871
65,0.580645
66,0.0322581
67,0
68,0.129032
69,0.16129
70,0.322581
71,1
72,1
73,1
74,1
75,0.870968
76,1
77,1
78,1
79,1
80,0.806452
81,1
82,1
83,1
84,0.548387
85,0.193548
86,0.419355
87,1
88,0.774194
89,1
90,1
91,0.645161
92,1
93,0.290323
94,0.709677
95,0.451613
96,0.354839
97,0.580645
98,0.709677
99,1
100,1
101,1
102,0.870968
103,1
104,1
105,0.83871
106,1
107,1
108,1
109,0.967742
110,0.967742
111,0.741935
112,1
113,1
114,0.741935
115,1
116,0.774194
117,1
118,0.483871
119,1
120,0.322581
121,0.258065
122,0.290323
123,0.0645161
124,0.193548
125,0.225806
126,0.129032
127,0.0967742
128,0.225806
129,1
130,1
131,1
132,0.903226
133,1
134,0.16129
135,0.16129
136,0.0645161
137,0.0322581
138,0.0322581
139,0.0322581
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0.0322581
153,0.0645161
154,0
155,0.0645161
156,0
157,0.0645161
158,0.0967742
159,0.16129
160,0.225806
161,0.935484
162,0.483871
163,1
164,0.935484
165,0.612903
166,1
167,0.903226
168,1
169,0.967742
170,0.258065
171,1
172,1
173,1
174,1
175,1
176,1
177,0.967742
178,1
179,1
180,0.806452
181,0.322581
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,0.580645
192,0.677419
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,0.967742
203,0.967742
204,1
205,0.0322581
206,0.0322581
207,0.0322581
208,0.0967742
209,0.0967742
210,0.0967742
211,0.0967742
212,0.0967742
213,0.0645161
214,0.129032
215,0.322581
216,0.967742
217,1
218,0.709677
219,1
220,0.0645161
221,0.129032
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0.0322581
242,0
243,0.0967742
244,0.0967742
245,0.0967742
246,0.16129
247,0.0967742
248,0.129032
249,0.0967742
250,0.16129
251,0.451613
252,1
253,0.741935
254,0.967742
255,1
256,0.935484
257,0.677419
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,0.870968
267,0.354839
268,0.419355
269,0.967742
270,0.354839
271,0.741935
272,0.870968
273,0.967742
274,1
275,0.387097
276,1
277,1
278,0.709677
279,1
280,0.741935
281,0.967742
282,0.870968
283,0.870968
284,0.806452
285,0.967742
286,0.967742
287,0.83871
288,0.741935
289,0.903226
290,0.870968
291,0.129032
292,0.0645161
293,0.0322581
294,0.0967742
295,0.0967742
296,0.0322581
297,0
298,0
299,0
300,0
301,0
302,0.677419
303,0.935484
304,0.903226
305,1
306,0.0967742
307,0.0967742
308,0
309,0
310,0
311,0
312,0
313,0.0645161
314,0
315,0
316,0.0645161
317,0
318,0.0645161
319,0.0645161
320,0
321,0.0645161
322,0.0645161
323,0
324,0.0645161
325,0
326,0
327,0
328,0
329,0
330,0.0322581
331,0.0322581
332,0.0322581
333,0.0322581
334,0.0645161
335,0.16129
336,0.193548
337,0.354839
338,0.645161
339,0.774194
340,0.903226
341,1
342,0.580645
343,0.677419
344,0.967742
345,0.741935
346,0.870968
347,1
348,0.83871
349,1
350,1
351,0.967742
352,1
353,0.580645
354,0.419355
355,0.774194
356,0.129032
357,0.0967742
358,0.258065
359,0.677419
360,0.709677
361,0.193548
362,0.677419
363,1
364,0.645161
365,0.483871
366,1
367,0.741935
368,0.774194
369,0.580645
370,0.516129
371,0.741935
372,0.677419
373,0.709677
374,0.483871
375,0.548387
376,0.645161
377,0.612903
378,0.225806
379,0.0645161
380,0.0322581
381,0.0645161
382,0.0645161
383,0
384,0
385,0.0645161
386,0
387,0
388,0.387097
389,0.935484
390,0.935484
391,0.741935
392,0.483871
393,0
394,0
395,0.0322581
396,0.0645161
397,0.0645161
398,0.0645161
399,0.0645161
400,0.0645161
401,0.0645161
402,0.0645161
403,0
404,0
405,0
406,0
407,0.0645161
408,0
409,0.0645161
410,0.0645161
411,0.0645161
412,0.0645161
413,0.0645161
414,0.0967742
415,0
416,0
417,0
418,0
419,0.0967742
420,0
421,0.129032
422,0.193548
423,0.193548
424,0.193548
425,0.258065
426,0.387097
427,0.806452
428,1
429,1
430,0.387097
431,0.774194
432,0.677419
433,0.709677
434,0.709677
435,0.774194
436,0.870968
437,0.967742
438,0.83871
439,1
440,0.612903
441,0.322581
442,0.0645161
443,0.129032
444,0.0322581
445,0.225806
446,0.258065
447,0.16129
448,0.16129
449,0.935484
450,0.870968
451,0.483871
452,0.451613
453,0.612903
454,0.483871
455,0.677419
456,0.419355
457,0.451613
458,0.548387
459,0.290323
460,0.322581
461,0.483871
462,0.612903
463,0.806452
464,0.451613
465,0.0322581
466,0
467,0
468,0
469,0
470,0.0645161
471,0
472,0
473,0
474,0
475,0
476,0.580645
477,0.83871
478,0.580645
479,0.709677
480,0
481,0.0645161
482,0.0967742
483,0.0322581
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0.0322581
505,0.0322581
506,0.0322581
507,0.0967742
508,0.0967742
509,0.129032
510,0.258065
511,0.387097
512,0.322581
513,0.451613
514,1
515,0.806452
516,0.193548
517,0.516129
518,0.516129
519,0.419355
520,0.419355
521,0.354839
522,0.516129
523,0.741935
524,0.806452
525,0.870968
526,0.935484
527,0.806452
528,0.451613
529,0.16129
530,0.0967742
531,0.0322581
532,0.258065
533,0.258065
534,0.16129
535,0.16129
536,1
537,0.806452
538,0.483871
539,1
540,0.935484
541,0.419355
542,0.419355
543,0.419355
544,0.193548
545,0.258065
546,0.193548
547,0.129032
