index,score
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,0.870968
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,0.0645161
17,0.0645161
18,0.0322581
19,0.0645161
20,0.0645161
21,0.0645161
22,0.0645161
23,0.0645161
24,0.0645161
25,0.0322581
26,0.0645161
27,0.0322581
28,0.16129
29,0.16129
30,0.16129
31,0.129032
32,0.16129
33,0.225806
34,0.193548
35,0.0967742
36,0.0645161
37,0.0645161
38,0.0645161
39,0.0645161
40,0.0322581
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0.0322581
49,0.0322581
50,0.0322581
51,0.129032
52,0.645161
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,0.935484
62,0.935484
63,0.903226
64,0.870968
65,0.83871
66,0.0322581
67,0
68,0.83871
69,1
70,1
71,1
72,0.387097
73,1
74,0.903226
75,1
76,0.806452
77,0.193548
78,1
79,0.709677
80,0.129032
81,0.193548
82,1
83,0.451613
84,0.419355
85,0.290323
86,1
87,0.290323
88,1
89,0.870968
90,0.258065
91,0.806452
92,0.548387
93,1
94,0.354839
95,1
96,0.16129
97,0.0645161
98,0.0645161
99,0.129032
100,0.0967742
101,0.129032
102,0.0645161
103,0.129032
104,0.129032
105,0.0645161
106,0.0322581
107,0.0322581
108,0.0967742
109,0.0967742
110,0.0645161
111,0.0645161
112,0.0645161
113,0.0967742
114,0.0645161
115,0.16129
116,0.193548
117,0.225806
118,0.16129
119,0.16129
120,0.193548
121,0.290323
122,1
123,0.870968
124,1
125,1
126,1
127,1
128,1
129,1
130,0.225806
131,0.967742
132,0.129032
133,0.129032
134,0.129032
135,0.16129
136,0.258065
137,1
138,0.0967742
139,0.290323
140,1
141,0.322581
142,0.193548
143,0.193548
144,0.290323
145,1
146,0.16129
147,0.129032
148,0.16129
149,0.129032
150,0.129032
151,0.0967742
152,0.193548
153,0.225806
154,0.16129
155,0.16129
156,0.0967742
157,0.16129
158,0.193548
159,0.290323
160,1
161,0.580645
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,0.16129
172,0.225806
173,0.387097
174,1
175,0.290323
176,1
177,0.806452
178,0.193548
179,0.225806
180,0.225806
181,1
182,0.0967742
183,0.0967742
184,0.0967742
185,0.129032
186,0.741935
187,1
188,0.129032
189,0.129032
190,0.0967742
191,0.193548
192,0.225806
193,1
194,0.193548
195,0.129032
196,0.225806
197,0.225806
198,0.225806
199,0.16129
200,0.129032
201,0.0967742
202,0.129032
203,0.16129
204,0.129032
205,0.129032
206,0.129032
207,0.193548
208,0.774194
209,0.193548
210,0.225806
211,1
212,0.225806
213,0.193548
214,0.580645
215,0.225806
216,0.967742
217,0.193548
218,0.387097
219,0.16129
220,0.0967742
221,0.0967742
222,0.0967742
223,0.0967742
224,0.0967742
225,0.0322581
226,0.0645161
227,0.129032
228,0.0645161
229,0.16129
230,0.0967742
231,0.258065
232,0.903226
233,0.290323
234,0.645161
235,0.225806
236,0.290323
237,0.225806
238,0.225806
239,0.193548
240,0.0645161
241,0.129032
242,0.129032
243,0.129032
244,0.129032
245,0.16129
246,0.193548
247,1
248,0.16129
249,0.258065
250,0.967742
251,0.322581
252,1
253,0.225806
254,0.0967742
255,0.129032
256,0.16129
257,0.16129
258,0.129032
259,0.129032
260,0.0967742
261,0.0967742
262,0.0967742
263,0.0645161
264,0.0645161
265,0.0967742
266,0.129032
267,0.0967742
268,0.0967742
269,0.193548
270,1
271,0.258065
272,0.258065
273,0.0967742
274,0.193548
275,0.290323
276,0.0967742
277,0.129032
278,0.16129
279,0.225806
280,0.483871
281,0.0967742
282,0.0967742
283,0.0967742
284,0.16129
285,0.16129
286,0.16129
287,0.129032
288,0.129032
289,0.290323
290,1
291,1
292,0.0645161
293,0.0645161
294,0.451613
295,1
296,1
297,1
298,1
299,1
300,1
301,0.967742
302,0.967742
303,0.0645161
304,0.0645161
305,0.0645161
306,0.129032
307,0.0967742
308,0.0645161
309,0.0322581
310,0
311,0
312,0.0645161
313,0.0645161
314,0.0645161
315,0.0645161
316,0
317,0
318,0
319,0
320,0.0967742
321,0
322,0
323,0.0322581
324,0
325,0.0967742
326,0.0645161
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0.0645161
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0.0322581
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0.193548
354,0.516129
355,1
356,0
357,0
358,0.16129
359,0.258065
360,0.0322581
361,0.0645161
362,0.0322581
363,0.0322581
364,0.16129
365,0.0645161
366,0.0322581
367,0.0645161
368,0.0322581
369,0
370,0.16129
371,0.0645161
372,0.0322581
373,0
374,0
375,0
376,0
377,0.0322581
378,0.0322581
379,0.0322581
380,0.0322581
381,0.0322581
382,0.0322581
383,0.0322581
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0.0322581
394,0.0322581
395,0.0322581
396,0.0322581
397,0.0322581
398,0.0322581
399,0.0322581
400,0
401,0
402,0.0645161
403,0.129032
404,0.129032
405,0.129032
406,0.129032
407,0.129032
408,0.129032
409,0.0645161
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0.419355
430,1
431,0.645161
432,1
433,0.967742
434,1
435,1
436,1
437,1
438,1
439,1
440,0.83871
441,0.967742
442,0.677419
443,1
444,0.354839
445,0.225806
446,0.258065
447,0.387097
448,0.806452
449,0.741935
450,1
451,1
452,1
453,1
454,0.580645
455,0.580645
456,0.387097
457,0.483871
458,0.483871
459,0.290323
460,0.16129
461,0.0645161
462,0.0645161
463,0.0645161
464,0.0967742
465,0.193548
466,0.193548
467,0.0322581
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0.0967742
476,0
477,0.129032
478,0.16129
479,0.0645161
480,0.0645161
481,0.0645161
482,0.0645161
483,0.0645161
484,0.0967742
485,0.0967742
486,0.0645161
487,0.0645161
488,0.0645161
489,0.0645161
490,0.0322581
491,0.0322581
492,0.0322581
493,0
494,0
495,0
496,0
497,0.0645161
498,0.0645161
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0.0645161
507,0.129032
508,0.129032
509,0.0322581
510,0.0645161
511,0.0967742
512,0.129032
513,0.0645161
514,0.0322581
515,0.0322581
516,0.0322581
517,0.0645161
518,0.0645161
519,0.0645161
520,0.0645161
521,0
